crop,farm_area,soil_type,irrigation,season,region,rainfall,temperature,soil_ph,soil_moisture,seed_cost,fertilizer_cost,pesticide_cost,labour_cost,irrigation_cost,machinery_cost,other_cost,previous_yield,farming_experience,yield_per_acre,expected_market_price,total_cost,total_yield,revenue,profit,profit_per_acre
Rice,15.12,Sandy,No,Kharif,East,2239.6,26.5,7.2,10.0,1425.44,2596.41,1736.33,3920.75,38.75,1395.58,1057.58,17.34,0,9.86,1935.37,184023.1008,149.08319999999998,288531.1527839999,104508.05198399993,6911.908199999996
Rice,10.68,Sandy,Yes,Rabi,East,1258.1,31.7,5.04,45.8,1839.37,4072.96,2343.35,4143.26,2851.59,2303.98,888.64,19.59,0,16.26,1962.41,196972.842,173.6568,340785.84088800004,143812.99888800003,13465.636600000003
Cotton,18.46,Sandy,No,Zaid,Central,958.6,34.7,7.32,37.9,1328.4,4689.33,1581.0,4555.16,1458.19,882.93,1064.79,5.68,15,4.88,6252.59,287233.908,90.0848,563263.319632,276029.41163200006,14952.839200000002
Sugarcane,5.81,Black,Yes,Zaid,South,1903.0,15.4,6.4,42.9,2586.84,2804.02,2001.37,3656.52,2846.36,1967.33,1004.49,300.43,7,254.57,377.8,97996.8633,1479.0516999999998,558785.73226,460788.86896,79309.61600000001
Potato,2.47,Loamy,Yes,Rabi,North-East,690.2,22.1,6.44,44.3,1398.13,3267.82,1998.47,4524.95,2279.71,1399.09,1284.09,52.87,0,73.7,988.17,39896.08220000001,182.03900000000002,179885.47863,139989.39643,56675.86899999999
Groundnut,1.1,Clay,Yes,Kharif,East,526.5,19.9,7.62,40.9,899.13,3384.81,2463.94,4078.41,2704.65,991.79,763.51,13.24,11,9.93,5821.7,16814.864,10.923,63590.4291,46775.5651,42523.240999999995
Tomato,9.23,Laterite,Yes,Zaid,North,896.7,19.6,6.86,53.4,980.93,3873.71,1455.63,4397.24,3003.18,2343.08,813.61,68.13,2,62.79,1711.73,155685.9174,579.5517,992036.0314409999,836350.1140409999,90612.14669999998
Groundnut,6.54,Clay,No,Kharif,West,261.9,21.0,6.76,15.9,1570.6,4224.23,1849.46,4935.45,100.29,1565.8,1271.82,10.51,12,6.55,5643.52,101485.431,42.836999999999996,241751.46624,140266.03524,21447.406
Rice,12.68,Laterite,Yes,Zaid,East,1028.3,27.4,6.73,46.4,2292.03,1826.14,2085.44,4787.59,2685.64,1290.31,496.56,13.76,10,20.51,2411.0,196079.84279999998,260.0668,627021.0548,430941.21200000006,33985.90000000001
Cotton,9.19,Alluvial,Yes,Rabi,East,1030.9,26.4,8.19,25.4,1086.43,4816.06,1736.93,5098.3,2332.79,2085.37,831.36,6.14,4,6.42,6415.32,165302.7356,58.99979999999999,378502.5969359999,213199.8613359999,23199.11439999999
Cotton,16.09,Black,Yes,Kharif,West,1379.4,26.4,8.05,32.7,678.73,3966.71,1225.63,3886.59,2755.2,2839.06,1404.78,6.49,3,6.66,6010.8,269615.303,107.1594,644113.72152,374498.41852,23275.228
Maize,10.9,Loamy,Yes,Kharif,North-East,820.4,22.0,4.96,50.5,2377.12,4377.03,1938.7,3026.46,2813.58,2402.83,1231.4,17.56,9,28.69,2079.63,198021.60800000004,312.721,650343.97323,452322.36523,41497.4647
Cotton,19.64,Loamy,Yes,Rabi,North-East,671.8,23.3,6.65,40.9,1643.95,2731.28,1744.66,4538.47,2038.73,2335.46,953.27,8.22,10,6.86,7936.76,313961.5048,134.7304,1069322.849504,755361.344704,38460.3536
Groundnut,6.9,Red,Yes,Rabi,North-East,557.7,21.1,5.63,26.0,1353.89,4466.18,2104.83,5204.74,4154.03,2196.84,352.4,8.85,12,9.75,6131.4,136847.079,67.275,412489.935,275642.856,39948.240000000005
Sugarcane,9.34,Clay,No,Rabi,South,1668.2,34.0,7.89,50.4,2466.92,3342.06,2527.29,4588.54,562.09,2247.94,1202.86,326.98,2,203.77,350.8,158198.11800000002,1903.2118,667646.69944,509448.58144,54544.816
Groundnut,10.79,Laterite,Yes,Kharif,North-East,770.5,32.5,5.73,65.2,1524.03,3220.82,368.36,5050.32,2889.88,1903.36,928.11,7.98,0,8.65,4997.7,171397.8552,93.3335,466452.83295,295054.97775,27345.225000000006
Tomato,19.04,Sandy,Yes,Zaid,West,635.3,26.9,6.8,35.6,2129.86,1857.56,1672.46,4223.31,3080.74,1129.77,103.13,84.74,9,91.97,1529.76,270307.6432,1751.1088,2678776.197888,2408468.554688,126495.19720000001
Tomato,14.03,Black,No,Rabi,North-East,572.7,25.5,5.3,23.2,1753.93,4472.04,2966.14,4686.93,341.71,1775.2,710.54,72.74,0,66.72,1362.74,234392.0547,936.0816,1275635.839584,1041243.784884,74215.5228
Rice,13.41,Laterite,Yes,Kharif,North,1155.0,17.4,6.19,35.4,1655.72,2461.17,2239.16,3348.1,3072.69,1612.29,544.59,15.86,15,19.96,1951.58,200261.1852,267.66360000000003,522366.92848800006,322105.74328800006,24019.816800000004
Tomato,16.9,Clay,Yes,Rabi,South,563.0,28.0,6.56,24.9,2329.49,3925.84,2270.86,5378.92,2289.97,2380.03,1094.81,67.69,11,79.91,1124.7,332421.648,1350.4789999999998,1518883.7312999999,1186462.0832999998,70204.85699999999
Cotton,10.79,Laterite,Yes,Rabi,Central,707.4,26.6,8.55,48.2,1254.42,4159.83,1839.87,2985.8,2809.42,1050.78,1208.0,7.42,5,6.1,6781.94,165174.61479999998,65.81899999999999,446380.5088599999,281205.8940599999,26061.713999999993
Sugarcane,3.33,Alluvial,Yes,Zaid,North-East,2341.4,28.1,6.7,36.5,2162.54,2359.61,2009.82,4118.51,2842.96,1414.65,1159.44,364.52,10,300.6,360.91,53504.874899999995,1000.998,361270.18818000006,307765.31328000006,92422.01600000002
Sugarcane,4.7,Red,No,Zaid,North,1744.7,25.2,6.86,48.6,2745.66,3480.13,2839.27,4878.76,890.41,1977.88,1303.55,278.43,5,273.7,353.97,85143.602,1286.39,455343.46830000007,370199.86630000005,78765.929
Maize,2.27,Alluvial,No,Kharif,Central,787.5,24.1,5.52,42.7,1905.48,3451.13,2488.19,4276.12,685.38,1889.74,1627.94,20.48,5,23.52,2151.9,37055.4346,53.3904,114890.80176,77835.36716,34288.708
Sugarcane,2.7,Sandy,No,Zaid,Central,1566.3,27.9,6.32,23.9,3081.81,3397.23,1874.27,3541.65,780.97,1423.71,1112.02,318.82,8,262.93,301.24,41071.482,709.9110000000001,213853.58964000002,172782.10764,63993.373199999995
Potato,10.63,Alluvial,No,Rabi,West,368.6,23.2,5.23,21.0,2102.74,2826.31,1494.22,4816.92,0.0,2814.57,700.15,68.66,11,64.38,1242.68,156844.69329999998,684.3594,850439.7391920001,693595.0458920002,65248.82840000001
Sugarcane,17.16,Loamy,No,Rabi,East,995.1,23.8,5.74,44.6,1659.64,3349.41,1449.01,4712.85,274.71,2573.48,957.25,270.33,0,199.26,360.66,256994.16599999997,3419.3016,1233205.315056,976211.1490559999,56888.7616
Cotton,11.11,Loamy,Yes,Kharif,East,710.3,32.2,4.55,43.8,1204.89,3178.69,1467.8,5606.89,1457.21,3072.13,1442.01,5.46,6,7.06,6805.82,193643.0782,78.4366,533825.3810119999,340182.3028119999,30619.469199999996
Tomato,9.79,Laterite,No,Kharif,North-East,198.5,24.0,5.09,23.8,1680.18,3134.36,1445.68,4005.76,0.0,1950.78,1071.96,83.4,21,54.4,1576.08,130096.5688,532.5759999999999,839382.3820799998,709285.8132799998,72450.03199999998
Potato,18.9,Sandy,Yes,Rabi,South,635.5,20.9,6.44,60.6,2457.62,3818.29,2071.01,5390.93,1822.32,1355.15,1034.7,83.77,22,75.96,1284.2,339255.37799999997,1435.6439999999998,1843654.0247999998,1504398.6467999998,79597.81199999999
Sugarcane,18.8,Sandy,Yes,Rabi,North-East,1426.3,25.5,6.89,40.3,2732.73,4326.36,2539.97,4803.9,1597.67,2388.57,1290.15,298.33,0,293.69,356.47,369971.78,5521.372,1968203.4768400004,1598231.6968400003,85012.32430000002
Groundnut,17.47,Black,No,Kharif,East,671.2,27.0,7.26,20.0,1831.61,3523.72,1669.31,4500.2,853.69,2031.74,799.75,7.68,9,10.78,5299.13,265719.0494,188.32659999999998,997967.1358579999,732248.0864579999,41914.6014
Maize,17.23,Loamy,No,Zaid,West,1612.1,36.6,6.13,40.2,2002.27,4388.6,2580.96,4739.4,1583.9,1954.19,1614.08,21.76,14,11.36,2100.97,325016.38200000004,195.7328,411228.740816,86212.35881599993,5003.619199999996
Sugarcane,18.64,Clay,Yes,Kharif,North,1119.7,23.2,6.61,43.2,2217.74,3608.39,2286.16,5250.91,2366.02,2305.58,1202.78,236.84,0,365.79,345.66,358588.4912,6818.325600000001,2356822.4268960007,1998233.9356960007,107201.39140000004
Maize,13.81,Laterite,No,Kharif,North-East,995.0,20.1,7.65,29.1,1148.45,3538.62,2035.46,3579.36,0.0,2544.43,1859.01,21.73,12,16.78,1729.4,203080.6073,231.73180000000002,400756.97492000007,197676.36762000006,14314.002000000004
Rice,14.62,Clay,Yes,Zaid,West,1418.6,30.2,6.67,51.7,2087.24,3621.03,1637.03,5431.38,2918.72,1220.11,1218.98,14.95,9,22.58,1876.59,265126.24379999994,330.11959999999993,619499.1401639999,354372.8963639999,24238.912199999995
Sugarcane,14.0,Alluvial,Yes,Kharif,North-East,1833.0,40.1,6.79,36.7,2921.28,3392.58,2370.98,3038.76,2512.24,2323.75,919.49,365.18,8,304.06,348.87,244707.12000000002,4256.84,1485083.7708,1240376.6508,88598.33219999999
Maize,6.99,Sandy,Yes,Zaid,Central,384.7,20.5,4.75,51.6,1553.6,2187.21,1595.89,2387.61,2664.26,1832.42,960.32,17.72,10,16.95,1859.17,92137.3569,118.48049999999999,220275.391185,128138.03428499999,18331.621499999997
Potato,6.46,Black,No,Kharif,South,197.4,24.1,6.43,23.5,1680.02,4951.73,1622.65,5420.79,676.45,996.66,992.67,49.05,4,31.03,1292.9,105562.66619999999,200.4538,259166.71802000003,153604.05182000005,23777.717000000008
Sugarcane,10.84,Black,No,Kharif,North,2003.7,27.5,7.38,44.4,2857.38,3610.87,1643.85,4672.25,360.76,1836.25,1588.01,247.31,12,273.1,345.15,179611.97079999998,2960.404,1021783.4406,842171.4698,77691.095
Sugarcane,10.62,Clay,No,Rabi,Central,621.3,36.2,6.21,24.7,2518.17,4177.93,1369.09,4974.96,0.0,2759.3,833.08,224.87,15,145.84,289.26,176637.46860000002,1548.8208,448011.90460799995,271374.43600799993,25553.148399999995
Tomato,3.77,Red,Yes,Rabi,North,350.8,25.7,6.69,40.5,1263.0,3826.88,2432.66,3806.73,2351.0,3645.89,1087.26,87.65,0,86.05,1577.17,69418.5934,324.4085,511647.35394500004,442228.760545,117302.05850000001
Sugarcane,16.18,Black,Yes,Kharif,West,2335.3,27.4,6.14,30.3,2813.59,3090.9,2220.1,4942.32,2822.75,2538.05,1598.0,239.41,2,288.45,396.8,324015.9878,4667.121,1851913.6128,1527897.625,94431.25
Wheat,16.51,Clay,Yes,Rabi,West,309.4,15.0,6.34,44.1,816.28,3298.31,1770.8,4896.93,2583.44,3076.04,1243.71,15.08,8,13.85,2273.36,291987.7701,228.66350000000003,519834.4543600001,227846.68426000007,13800.526000000003
Wheat,10.42,Loamy,Yes,Rabi,Central,1032.4,19.6,5.73,53.4,1591.96,3282.82,2394.03,2677.83,2555.93,1675.52,1447.64,12.79,13,16.21,1900.07,162820.1066,168.9082,320937.403574,158117.296974,15174.4047
Potato,2.07,Black,Yes,Kharif,North,416.8,16.8,6.14,71.4,1246.0,3665.16,2214.42,5091.84,2320.65,1518.48,1394.84,71.26,0,68.57,1203.19,36124.37729999999,141.93989999999997,170780.66828099996,134656.29098099997,65051.34829999999
Wheat,2.7,Laterite,Yes,Rabi,South,942.4,26.5,6.98,14.4,1190.83,3631.81,1095.24,4477.84,2100.72,3612.65,724.71,18.01,0,11.33,2099.51,45451.26,30.591,64226.11041000001,18774.850410000006,6953.648300000002
Wheat,16.73,Loamy,No,Kharif,North,775.0,20.4,7.49,35.0,1420.89,3553.34,1095.34,3575.18,915.89,649.75,1359.11,13.92,6,13.87,2640.66,210287.73500000002,232.0451,612752.2137659999,402464.4787659999,24056.454199999993
Sugarcane,6.8,Alluvial,No,Zaid,North,2073.0,31.9,7.42,16.9,2334.46,3383.63,1549.98,3370.97,1348.4,2093.5,567.34,214.64,9,229.88,393.63,99608.30399999999,1563.184,615316.11792,515707.81392,75839.3844
Potato,19.29,Laterite,Yes,Rabi,Central,366.4,14.7,4.47,39.7,2234.27,3452.45,2240.09,4350.02,2256.06,1329.9,1025.98,63.04,10,77.27,1041.23,325784.3733,1490.5383,1551993.194109,1226208.8208090002,63567.07210000001
Cotton,13.07,Laterite,Yes,Zaid,North,845.1,37.5,6.13,33.9,1419.46,4098.0,2114.1,4543.67,2743.76,1605.03,1240.07,4.99,9,5.28,7162.32,232176.6563,69.0096,494268.838272,262092.18197200002,20052.959600000002
Cotton,0.54,Red,Yes,Zaid,North-East,376.1,32.8,6.02,50.1,1633.13,2729.05,1842.38,4129.44,1759.72,1372.56,710.29,5.59,0,4.66,6776.08,7655.3478000000005,2.5164000000000004,17051.327712000002,9395.979912000003,17399.962800000005
Sugarcane,17.96,Red,No,Rabi,East,1340.1,24.1,6.54,38.4,2673.05,4281.86,1583.13,4595.65,0.0,1483.72,1062.14,288.09,0,256.93,380.43,281604.718,4614.4628,1755480.0830040001,1473875.3650040003,82064.32990000001
Sugarcane,9.55,Red,Yes,Zaid,East,1095.3,20.9,5.37,42.2,2744.93,2949.47,1940.5,4608.12,3181.16,2335.25,1076.8,314.84,12,268.46,322.08,179885.9965,2563.793,825746.44944,645860.45294,67629.36679999999
Potato,2.33,Alluvial,No,Kharif,West,502.8,19.2,5.7,45.1,2004.88,3392.07,1727.77,5471.01,589.29,1040.96,456.14,60.69,10,72.57,1279.66,34209.3396,169.0881,216375.27804600002,182165.93844600001,78182.8062
Potato,4.95,Red,Yes,Kharif,East,275.6,27.0,6.91,36.2,2422.99,2228.79,1906.05,3917.16,3004.03,2507.57,706.36,67.6,11,36.49,1368.07,82630.10250000001,180.62550000000002,247108.327785,164478.225285,33227.9243
Potato,3.52,Black,Yes,Rabi,North,455.9,27.5,6.16,61.2,1082.44,3347.09,1129.0,3781.17,2269.2,2344.11,787.96,71.17,0,52.19,1474.03,51888.214400000004,183.7088,270792.282464,218904.068064,62188.655699999996
Rice,18.01,Sandy,Yes,Kharif,North,1019.5,21.7,7.42,34.7,1393.93,4326.33,2024.39,4150.61,3057.01,1609.5,903.96,14.52,1,18.17,2053.02,314557.79730000003,327.24170000000004,671833.7549340001,357275.95763400005,19837.6434
Tomato,9.71,Alluvial,Yes,Rabi,South,556.7,20.9,5.8,41.8,1556.57,3028.95,1716.85,5011.49,3001.71,2804.88,694.9,89.8,7,112.64,1666.62,172987.04850000003,1093.7344,1822839.625728,1649852.577228,169912.72679999997
Cotton,8.29,Sandy,Yes,Zaid,North-East,372.7,22.0,5.77,36.2,2147.12,4585.33,902.55,6006.35,2545.85,2046.78,1308.67,5.24,8,5.36,6284.26,162008.5685,44.4344,279237.322544,117228.754044,14140.983600000001
Groundnut,8.93,Clay,Yes,Kharif,North,923.8,25.9,6.44,44.9,1504.74,3000.57,1548.32,6149.13,1836.25,1898.87,1488.85,7.24,8,10.42,5776.52,155620.6989,93.0506,537508.651912,381887.95301200007,42764.60840000001
Tomato,12.65,Black,Yes,Kharif,Central,650.7,22.5,6.74,56.1,1697.55,4797.86,1803.13,4137.02,2243.52,1377.74,1242.43,73.44,0,93.69,1669.15,218835.5125,1185.1785,1978240.693275,1759405.180775,139083.4135
Cotton,12.35,Red,No,Rabi,East,677.9,29.2,4.69,35.3,1359.77,3380.68,2688.05,4864.15,58.12,1707.01,642.98,8.7,3,5.66,6427.27,181554.386,69.901,449272.60027,267718.21427,21677.588200000002
Maize,15.81,Black,No,Rabi,Central,901.6,23.5,7.3,19.1,1820.25,1963.92,1832.32,3153.65,0.0,1360.44,944.98,19.99,1,18.16,2276.49,175104.6036,287.1096,653602.1333039999,478497.52970399987,30265.49839999999
Cotton,15.46,Clay,No,Rabi,Central,1255.9,24.5,6.41,17.3,1122.46,3297.48,2309.94,4537.37,1143.82,1567.9,306.18,7.65,15,4.12,5847.23,220848.419,63.69520000000001,372440.48429600004,151592.06529600004,9805.437600000003
Groundnut,0.8,Red,No,Kharif,Central,151.9,24.7,7.02,35.4,1440.37,4847.72,1645.28,6177.69,1011.82,1754.91,675.85,11.09,9,6.74,7237.45,14042.912,5.392,39024.3304,24981.4184,31226.772999999997
Maize,1.72,Black,No,Rabi,North,658.3,15.1,6.51,21.7,1656.42,3844.47,2269.87,5089.68,700.63,2357.51,1209.05,14.43,14,15.28,1943.83,29459.523599999997,26.281599999999997,51086.962528,21627.438928,12574.0924
Potato,7.27,Alluvial,Yes,Kharif,West,661.3,15.0,5.85,49.2,1353.3,4171.4,1613.29,4571.37,2559.8,2039.55,1034.52,64.42,9,68.83,1408.01,126085.28209999998,500.3941,704559.896741,578474.614641,79570.09830000001
Tomato,14.42,Laterite,No,Zaid,North-East,625.9,24.6,5.66,5.0,1253.54,3108.91,1297.09,4539.83,483.38,1388.52,1273.77,85.65,6,74.59,1640.11,192435.47679999997,1075.5878,1764082.306658,1571646.829858,108990.7649
Maize,10.92,Black,No,Kharif,South,1008.7,31.0,4.95,34.4,1789.77,3800.34,1927.11,4849.73,361.14,1329.37,533.02,21.26,14,17.89,1700.19,159328.0416,195.3588,332147.078172,172819.036572,15825.919100000001
Wheat,5.45,Laterite,No,Kharif,East,887.8,24.3,6.21,36.1,1915.79,3037.06,1396.33,4008.07,626.32,2105.69,1149.31,19.52,3,9.54,2486.63,77600.2065,51.992999999999995,129287.35359,51687.14709,9483.8802
Rice,14.02,Red,No,Zaid,North,1047.6,38.9,6.81,19.8,1523.23,3619.56,1023.54,5798.79,276.25,1257.66,848.7,14.03,12,12.52,2004.14,201155.1746,175.5304,351787.495856,150632.321256,10744.1028
Rice,13.5,Alluvial,No,Kharif,North,1040.5,26.1,7.57,20.2,1328.77,3484.15,2446.13,4642.48,604.63,2382.02,736.08,15.32,17,17.98,1952.94,210927.50999999998,242.73000000000002,474037.12620000006,263109.61620000005,19489.601200000005
Cotton,2.52,Loamy,No,Kharif,Central,890.8,27.1,5.56,31.1,1488.01,3384.58,805.21,5324.85,812.86,3215.65,1148.85,8.36,0,5.05,6112.52,40773.6252,12.725999999999999,77787.92952,37014.30432,14688.216
Maize,7.77,Clay,No,Rabi,West,1148.3,29.8,4.0,34.6,2002.65,3544.61,1781.28,5488.65,331.2,1984.9,1032.0,17.8,0,11.82,1730.81,125604.30329999999,91.8414,158960.01353399997,33355.710233999984,4292.884199999998
Rice,7.72,Red,Yes,Kharif,South,1734.1,22.5,6.01,63.7,1451.36,2787.19,1290.49,6020.98,2206.91,1402.04,870.08,15.23,7,20.1,2078.9,123744.266,155.172,322587.0708,198842.80479999998,25756.84
Groundnut,0.88,Sandy,Yes,Zaid,West,745.6,24.6,7.86,39.1,1621.58,4313.37,1224.49,3710.25,2693.06,1998.47,824.31,6.74,16,9.96,6175.91,14419.266399999999,8.764800000000001,54130.615968000006,39711.349568000005,45126.5336
Maize,14.02,Clay,Yes,Rabi,North-East,834.9,26.4,4.82,41.4,1217.25,3891.51,3099.19,4620.57,1901.02,1903.7,1003.19,12.09,10,21.62,2031.77,247262.7486,303.1124,615854.6809479999,368591.93234799994,26290.437399999995
Wheat,4.96,Sandy,Yes,Rabi,East,521.8,20.3,6.61,19.4,1378.63,4191.98,1837.9,3278.39,2513.18,1460.93,633.13,9.95,15,20.4,2653.94,75858.9344,101.184,268536.26496,192677.33056,38846.236
Tomato,9.22,Laterite,No,Kharif,North,362.4,21.4,6.67,28.5,1747.24,3840.19,2345.64,4287.99,326.14,1335.04,837.2,89.94,5,63.86,1208.1,135713.23679999998,588.7892,711316.23252,575602.99572,62429.825999999994
Tomato,10.14,Black,No,Zaid,North-East,457.0,15.9,7.23,31.0,2234.88,2454.14,2321.63,4278.73,1133.75,899.7,1067.62,57.89,3,56.54,1390.13,145919.16300000003,573.3156,796983.2150280001,651064.052028,64207.500199999995
Rice,7.07,Alluvial,Yes,Kharif,East,1137.0,31.3,6.7,55.7,1415.04,5106.0,1604.1,4169.12,2725.36,1675.48,1042.14,18.62,1,20.6,2485.9,125402.28679999999,145.64200000000002,362051.4478000001,236649.16100000008,33472.30000000001
Sugarcane,13.26,Clay,Yes,Kharif,North-East,1963.2,20.0,7.85,33.1,2456.33,3935.08,1300.97,4401.7,2343.29,1309.21,686.5,211.18,15,247.0,339.1,217902.64079999996,3275.22,1110627.102,892724.4612,67324.62
Sugarcane,12.42,Red,Yes,Rabi,West,1453.7,32.5,5.15,48.9,2796.99,2652.63,2150.24,4786.53,2369.6,1869.16,1018.56,288.83,11,273.75,338.61,219134.87820000004,3399.975,1151265.53475,932130.6565500001,75050.77750000001
Cotton,14.93,Loamy,No,Zaid,South,386.2,28.6,8.27,41.9,1432.94,4062.28,1673.8,3358.97,77.43,1802.69,1231.07,6.52,1,4.01,6053.73,203632.9574,59.869299999999996,362432.57748899993,158799.62008899992,10636.277299999994
Rice,7.54,Black,Yes,Rabi,North,747.9,30.0,5.97,5.0,1416.11,2017.53,2776.48,4316.65,2600.71,1625.25,911.34,12.9,10,21.12,2392.69,118107.0878,159.2448,381023.440512,262916.352712,34869.5428
Sugarcane,3.63,Laterite,Yes,Zaid,West,1436.2,23.2,7.32,52.3,2400.43,4329.94,2296.1,4535.0,2459.44,1308.75,1318.29,191.18,5,312.35,359.63,67692.0585,1133.8305,407759.46271500003,340067.40421500005,93682.48050000002
Potato,10.1,Laterite,Yes,Zaid,West,607.0,16.6,6.37,41.3,1199.25,3670.0,1480.7,5018.39,2347.73,967.94,1186.25,72.88,9,67.77,1183.34,160289.626,684.477,809969.0131799999,649679.3871799998,64324.691799999986
Maize,1.15,Black,Yes,Kharif,North-East,1025.3,30.7,6.29,44.6,1382.69,3583.98,3036.01,4391.98,2523.3,1757.4,1185.64,19.4,13,19.98,1676.25,20540.149999999998,22.977,38515.19625,17975.046250000003,15630.475000000004
Rice,10.57,Laterite,No,Kharif,West,1250.9,24.5,7.36,43.9,1474.89,3221.38,1275.3,4531.4,324.57,1842.84,1028.19,19.46,6,15.54,2163.91,144793.88490000003,164.2578,355439.095998,210645.21109799997,19928.591399999998
Cotton,14.71,Laterite,Yes,Rabi,West,459.7,24.6,5.71,24.7,813.43,3634.36,996.35,4422.01,2100.21,631.64,1444.16,5.83,11,5.81,6401.5,206560.1736,85.46509999999999,547104.83765,340544.66405,23150.555
Groundnut,14.19,Loamy,Yes,Zaid,Central,685.9,27.6,5.1,47.8,1649.18,3767.22,1086.0,5166.56,2642.51,1648.02,959.24,11.45,1,10.33,6230.97,240076.7787,146.5827,913352.406219,673275.627519,47447.1901
Cotton,15.57,Sandy,Yes,Kharif,North-East,650.1,25.0,7.13,53.3,1448.02,3871.44,2449.64,4447.63,2511.81,3279.53,1092.17,7.2,0,7.73,7791.72,297390.73679999996,120.35610000000001,937781.0314920001,640390.2946920001,41129.75560000001
Tomato,3.41,Alluvial,Yes,Rabi,North-East,536.5,16.8,6.24,43.2,1305.22,4428.33,2983.89,4504.36,2522.77,533.98,1271.34,67.63,7,80.28,1595.5,59845.1249,273.7548,436775.78339999996,376930.65849999996,110536.84999999999
Groundnut,17.97,Laterite,Yes,Zaid,North,823.2,26.3,6.86,29.3,1679.25,3319.86,1785.67,3433.85,1864.42,2024.66,837.37,8.12,0,9.45,6359.12,268563.0876,169.8165,1079883.5014799999,811320.4138799999,45148.604
Rice,3.78,Loamy,Yes,Rabi,South,1448.2,32.3,6.78,35.4,1957.64,3775.15,1106.92,6382.49,2917.47,1669.7,658.81,17.06,14,21.39,2136.15,69809.72039999999,80.85419999999999,172716.69933,102906.97893000001,27224.068500000005
Maize,16.06,Alluvial,Yes,Zaid,East,623.0,19.1,6.21,49.5,1835.76,2459.34,2583.87,4030.64,2799.54,2407.08,619.14,24.23,12,22.6,1932.46,268770.0422,362.956,701397.9517600001,432627.90956000006,26938.226000000006
Cotton,2.44,Alluvial,Yes,Rabi,West,816.2,24.9,8.09,72.9,1400.52,4133.87,1601.13,6519.36,1404.24,2226.12,996.84,7.4,4,7.6,5664.19,44608.2752,18.544,105036.73935999999,60428.464159999996,24765.764
Tomato,7.18,Loamy,No,Kharif,North-East,50.0,32.2,8.09,9.0,1648.78,2077.04,2452.31,5071.93,1233.17,1079.61,635.2,76.84,8,36.3,1651.56,101941.9272,260.63399999999996,430452.6890399999,328510.76183999993,45753.587999999996
Maize,1.73,Alluvial,Yes,Rabi,North,1525.4,21.7,6.61,39.6,1281.91,3287.12,2062.93,6201.34,2204.75,1406.92,1002.85,21.92,10,18.04,2123.46,30184.7286,31.2092,66271.487832,36086.759232,20859.3984
Tomato,17.31,Clay,No,Rabi,North,418.4,15.9,6.29,31.6,1642.8,3094.55,1331.3,3694.76,170.79,1728.41,670.55,64.44,8,59.59,1722.15,213486.99959999998,1031.5029,1776402.719235,1562915.719635,90289.75850000001
Wheat,2.67,Alluvial,Yes,Rabi,South,856.3,21.4,7.73,51.3,1347.04,3526.22,1827.31,5017.24,2729.79,1653.88,1007.77,16.72,7,16.44,2403.6,45681.6975,43.894800000000004,105505.54128,59823.84378,22405.934
Rice,9.43,Loamy,Yes,Rabi,West,1435.7,22.5,5.69,55.9,1707.92,3333.96,2216.03,4233.43,2703.34,2119.06,1023.53,22.35,6,20.13,1723.24,163490.4561,189.8259,327115.583916,163625.12781599996,17351.551199999998
Cotton,14.69,Red,Yes,Rabi,West,532.7,26.8,7.34,51.5,1362.16,3533.01,163.52,5586.6,2450.46,1308.56,711.96,4.85,5,6.53,7754.26,222058.0063,95.9257,743832.818482,521774.812182,35519.0478
Wheat,5.85,Clay,Yes,Rabi,North-East,727.2,17.2,6.7,45.2,2225.38,4209.21,1505.32,5880.16,1811.79,3418.68,707.43,14.0,13,20.82,2766.48,115584.1245,121.797,336948.96456,221364.84006,37840.1436
Sugarcane,16.37,Clay,No,Kharif,East,1786.0,26.1,6.56,12.4,2037.98,3589.61,1939.0,4267.75,963.68,1599.65,1016.49,333.25,18,332.39,347.15,252329.7992,5441.2243,1888921.0157449997,1636591.2165449997,99975.02849999997
Wheat,17.43,Laterite,No,Rabi,South,621.4,15.1,5.19,20.6,1021.28,3746.13,2406.67,5697.58,369.91,2536.33,795.7,16.58,4,11.44,2776.09,288877.848,199.39919999999998,553550.1251279999,264672.2771279999,15184.869599999996
Sugarcane,17.26,Black,Yes,Kharif,North-East,1266.0,32.3,6.93,47.1,2601.21,3168.38,1546.7,4694.25,1874.11,2055.01,583.37,298.66,0,352.04,318.41,285187.49780000007,6076.210400000001,1934726.1534640004,1649538.6556640004,95570.02640000002
Rice,14.69,Alluvial,Yes,Zaid,West,1197.0,17.5,6.96,32.0,1432.73,3628.78,2230.15,5417.56,2863.66,2622.58,815.17,17.44,21,18.08,1770.8,279266.15469999996,265.5952,470315.9801599999,191049.82545999996,13005.433999999997
Rice,15.38,Red,No,Rabi,East,1423.3,28.5,6.81,20.3,1824.44,2359.48,1489.23,4573.76,0.0,1082.31,1047.39,19.09,0,15.27,2455.45,190352.26179999998,234.8526,576668.81667,386316.55487,25118.1115
Potato,15.15,Alluvial,Yes,Rabi,Central,395.1,15.5,5.36,54.8,1225.76,3438.06,2762.45,5068.63,1425.84,2866.94,1044.89,45.8,7,92.41,1215.23,270163.4355,1400.0115,1701335.975145,1431172.539645,94466.83429999999
